,EEP,log10_isochrone_age_yr,initial_mass,star_mass,star_mdot,he_core_mass,c_core_mass,log_L,log_LH,log_LHe,log_Teff,log_R,log_g,surface_h1,surface_he3,surface_he4,surface_c12,surface_o16,log_center_T,log_center_Rho,center_gamma,center_h1,center_he4,center_c12,phase
99478,365,10.150000000000002,0.7525013148661021,0.7523645163278001,-1.4525152435982733e-14,0.0,0.0,-0.5030946404054665,-0.5031655798097101,-45.917978186036315,3.6910397748949215,-0.11094971781046238,4.533715902887189,0.7590127955869207,6.092921191606242e-05,0.2288034698575962,0.0021431830671465304,0.005244250548951124,7.123104609512757,2.247853361428719,0.14591821394891885,0.2797512677400745,0.7032025535997937,5.794407030420763e-06,0.0
71684,633,9.200000000000001,1.793074543430563,1.7767875622838538,-1.4271713703280644e-11,0.4507680620569266,0.0,1.7500348142886548,1.604569019578093,1.3117526872210008,3.67830051804084,1.04109352324476,2.60558781888696,0.7007359249730316,0.00023222205614160496,0.2845597885091592,0.001184524117860313,0.0060789172875196345,7.220739943413287,4.658561430029439,1.2744549396071716,8.515405524497626e-21,0.9717202415665662,0.014182307066444896,3.0
77289,236,9.400000000000002,0.263962039437872,0.2639607893301521,-3.339773016258534e-16,0.0,0.0,-2.0891281940697723,-2.0883005547083044,-63.143496371723096,3.5247022011866216,-0.5712913472260166,5.000777490028385,0.7134010228082805,0.0020185159691106834,0.2702947665474402,0.0024964820346178277,0.006108885230794356,6.855024420002824,2.046144530729907,0.16911502827476782,0.7134010228058805,0.27029476654761225,0.002496482034617724,0.0
76479,920,9.350000000000001,1.6341056762512347,1.5879778202454269,-6.20575269758465e-08,0.5401265976707657,0.474678005893271,3.4153338264538466,1.409592234672016,3.521312823817373,3.5187210131482676,2.1929020391125023,0.25318222813984603,0.7002210346894495,0.00019902549017589605,0.28512877552269317,0.0011922429832507274,0.006084770789430769,7.962877486523007,6.155050859311917,6.008822979969912,2.4546911171321505e-45,2.419621759757661e-22,0.32524167109439495,5.0
5383,136,5.95,3.2695509532244644,3.269545837363231,-1.833712188187724e-12,0.0,0.0,1.4251906044745537,-2.9264882707224515,-74.47858511101481,3.7432497039677592,0.748773046483872,3.4549054374132986,0.7153930648840444,6.632431608087827e-05,0.2702549204292121,0.002496534221071142,0.00610888129904788,6.737958627899822,-0.0815502731639437,0.043129035293231144,0.7153925966430115,0.27025537873227895,0.0024965373122178463,-1.0
88785,1348,9.75,1.2277684320664461,0.9313026042639734,-7.496611393795014e-06,0.5462200063279292,0.4923956271096337,3.712974334608754,-1.2937300089181318,3.049767254616083,3.4407983708812475,2.4975675777239963,-0.5880317462203474,0.6980217132882995,0.00019046173157439032,0.2874648960797422,0.0014811005411743197,0.006060551584255911,7.927666360844435,6.181521156876458,6.677688336087826,2.587753977074163e-43,6.473069484821068e-20,0.31707401496421095,5.0
99958,845,10.150000000000002,0.9428328102148831,0.8646394920906089,-8.59926519646059e-09,0.5221725190072598,0.4423889009244133,2.936977531628675,-0.034619358267968914,2.7692875056303805,3.5377028858623243,1.9157601462718032,0.5428166606708522,0.703411241494832,0.00017156356678293738,0.282367017853734,0.0016639108640322745,0.0059803041474134205,7.96674411851568,6.080999738824504,5.706851826815383,2.4503202573295386e-38,2.658938603846811e-16,0.2974639896952493,5.0
50095,373,8.5,2.9925386202182884,2.9910988735684403,-8.685779737440647e-12,0.0,0.0,2.124678211351593,2.12536775926633,-31.846501133963766,4.001325765382383,0.5823647270931442,3.7492111862231257,0.716305650226583,0.0001119129016790328,0.2693219471094791,0.0024158367039870364,0.006089062273216136,7.440387340271285,1.6836695284444325,0.05002082366968944,0.2046059712830015,0.7814137345500329,3.809446208493409e-05,0.0
6692,289,6.15,13.006834066920863,13.003190755420926,-2.0506602453510395e-09,0.0,0.0,4.107278735737333,4.107608345186613,-28.928754413038916,4.453867365666857,0.6685817887170655,4.215024298851807,0.7154115392896088,6.632812979754173e-05,0.2702370788696212,0.0024964182294966294,0.0061086001542860376,7.530768469971307,0.8750822752296112,0.0146717423772113,0.6856742961804979,0.3000705767227578,3.926143806682241e-05,0.0
83531,525,9.600000000000001,1.3435604505296557,1.3417049049886516,-1.6094036439829024e-11,0.26141956957227797,0.0,1.681673114139375,1.6796067323934094,-14.079239068882409,3.6563524915196894,1.0508087262124224,2.464178757061817,0.6983277972900414,0.0007299325120397114,0.2866275463670703,0.0018230578347933376,0.0060749703474563,7.599789555664046,5.337060801863875,0.8818294767089885,5.45543371714493e-18,0.985713111377295,3.365562777557528e-05,2.0
74403,342,9.3,1.1424319267346443,1.1423057632511415,-7.253095806740675e-14,0.0,0.0,0.2620136413304712,0.26196493339716603,-41.46919535850124,3.7944374227629027,0.0648091273215429,4.366303286869422,0.7479940657297474,6.113625744265414e-05,0.23926269793659696,0.0022136098011488097,0.005416580875797119,7.223816752881506,2.0860568763775067,0.08494944769066863,0.47659922267131927,0.5083852638417172,7.843266370988668e-06,0.0
56495,637,8.700000000000001,2.6848887178704692,2.6825413470448654,-8.061983135220123e-11,0.39428481022159867,0.0,2.337339270514999,2.3199553914949136,0.8468026736393064,3.6535204173429747,1.384305952753664,2.098078515381609,0.6894927014350061,0.00017547773636913144,0.29590441616541274,0.0012012191174412704,0.005579581071637929,8.047659090130162,4.522154881091032,0.17048105687706752,2.3322983976662167e-21,0.9738388445056221,0.012161648241787263,3.0
